epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.318,0.87692,0.86952,1.14435,0.90786,0.83985,0.90558,0.58608,1.20152,1.66415,1.58351,0.000552943,0.000552943,0.000552943
2,586.843,0.91824,0.6205,1.18534,0.81451,0.58888,0.74592,0.4907,1.1467,2.01853,1.69698,0.00105373,0.00105373,0.00105373
3,884.847,0.91827,0.59698,1.18486,0.91184,0.78299,0.88396,0.57137,1.25938,0.89287,1.61424,0.00149951,0.00149951,0.00149951
4,1182.49,0.87235,0.53621,1.15973,0.92964,0.86587,0.91448,0.62765,1.06297,0.77606,1.41407,0.00141945,0.00141945,0.00141945
5,1480.57,0.8261,0.48761,1.1332,0.91149,0.91118,0.96411,0.68738,1.04592,0.55685,1.38042,0.00133693,0.00133693,0.00133693
6,1777.97,0.76546,0.45023,1.10106,0.92507,0.95646,0.98312,0.68978,1.10008,0.50664,1.44409,0.00125442,0.00125442,0.00125442
7,2075.13,0.75112,0.42961,1.08923,0.9688,0.94067,0.98446,0.69498,1.05227,0.44493,1.42776,0.0011719,0.0011719,0.0011719
8,2372.45,0.71662,0.39762,1.07256,0.97563,0.98016,0.98717,0.70926,1.04731,0.41091,1.37931,0.00108938,0.00108938,0.00108938
9,2669.36,0.70683,0.39266,1.06499,0.93469,0.95106,0.97822,0.70479,1.04598,0.45487,1.40284,0.00100687,0.00100687,0.00100687
10,2966.2,0.6895,0.37276,1.05253,0.96292,0.94088,0.98728,0.71582,1.03963,0.45644,1.41442,0.000924352,0.000924352,0.000924352
11,3263.46,0.57955,0.3055,0.98828,0.90089,0.97709,0.97364,0.69918,1.06144,0.46275,1.43104,0.000841835,0.000841835,0.000841835
12,3558.84,0.56325,0.29534,0.97634,0.87978,0.92577,0.91208,0.62984,1.13852,0.56641,1.55096,0.000759318,0.000759318,0.000759318
13,3853.67,0.54764,0.28048,0.9695,0.97325,0.97726,0.9914,0.7074,1.05835,0.39787,1.39523,0.000676802,0.000676802,0.000676802
14,4148.55,0.53373,0.27036,0.95796,0.97457,0.97424,0.99115,0.73257,1.01192,0.38027,1.37794,0.000594286,0.000594286,0.000594286
15,4443.93,0.52101,0.25611,0.94972,0.98126,0.9743,0.99114,0.73947,0.99307,0.36454,1.3569,0.000511769,0.000511769,0.000511769
16,4739.15,0.51094,0.24611,0.94575,0.98164,0.95449,0.99269,0.73277,1.00642,0.37097,1.41151,0.000429253,0.000429253,0.000429253
17,5033.9,0.4988,0.23332,0.942,0.98298,0.97513,0.99295,0.74446,0.97976,0.35334,1.3539,0.000346736,0.000346736,0.000346736
18,5329.42,0.48563,0.22909,0.93094,0.96876,0.96622,0.99178,0.73617,0.99994,0.37284,1.37636,0.00026422,0.00026422,0.00026422
19,5623.97,0.472,0.2149,0.91877,0.98374,0.97605,0.99276,0.73855,0.98674,0.34539,1.36422,0.000181703,0.000181703,0.000181703
20,5918.73,0.46464,0.20279,0.91558,0.95702,0.98653,0.99226,0.74791,0.967,0.34954,1.35126,9.91865e-05,9.91865e-05,9.91865e-05
